Issuer,Issue Month,Size (in issuance currency),Size (USD equivalent),Maturity Date,Issuer Country,Sector Criteria,Approved Verifier,Verifier Report,Status
Obvion,2016-06-01,EUR 562m,595000000,36 years,Netherlands,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/CBI_Verification Letter_Obvion.pdf,redeemed
Deutsche Kreditbank,2016-06-01,EUR 500m,569750000,5 years,Germany,WindSolar,Oekom Research,/files/drupal-files/files/DKB pre issuance statement public.pdf,-
ABN AMRO,2016-05-01,EUR 500m,557000000,6 years,Netherlands,Low Carbon Buildings (Commercial and Residential),Oekom Research,/files/drupal-files/files/ABN_AMRO_pre-issuance-verification 2016.pdf,-
OVG Real Estate,2016-05-01,EUR 80m,89000000,5 years,Netherlands,Low Carbon Buildings (Upgrades),Oekom Research,/files/drupal-files/files/oekom OVG_pre-issuance-report 7 Oct 2016.pdf,repaid
New York Metropolitan Transportation Authority,2016-05-01,USD 588m,588305000,Multiple tranches/years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Westpac,2016-05-01,AUD 500m,360000000,5 years,Australia,Low Carbon Buildings (Commercial)Wind,EY Asia Pacific,/files/drupal-files/files/westpac_Pre issuance assurance statement2022.pdf,-
Axis Bank,2016-05-01,USD 500m,500000000,5 years,India,Low Carbon Buildings (Commercial)Low Carbon TransportSolarWind,KPMG India,/files/drupal-files/files/PUBLIC Pre-Issuance Assurance Statement_Axis Bank - KPMG - May2016.pdf,-
San Francisco Public Utilities Commission,2016-05-01,USD 240m,240000000,30 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
Flexi ABS Trust 2016-1 (FlexiGroup (now known as Humm Group)),2016-04-01,AUD 50m,39000000,-,Australia,Solar,DNV,,redeemed
Meridian Energy,2016-03-01,NZD 150m,100000000,7 years,New Zealand,Wind,DNV,/files/drupal-files/files/meridian energy_Pre issuance assurance statement.pdf,-
AP Renewables Inc,2016-03-01,PHP 10.7bn,225000000,10 years,Philippines,Geothermal,DNV,/files/drupal-files/files/APRI Climate Bond Verification Statement 8 March 2016.pdf,-
Nordex SE,2016-03-01,EUR 550m,621000000,5 years,Germany,Wind,DNV,/files/drupal-files/files/Nordex Climate Bond Verification Statement_Pre Issuance.pdf,-
New York Metropolitan Transportation Authority,2016-02-01,USD 782.5m,782520000,Multiple tranches/years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Hero Future Energies,2016-01-01,INR 1.9bn,28000000,3 and 5 years (two tranches),India,Wind,KPMG India,/files/drupal-files/files/HWEPL Green Bond - Final Report - Public(2).pdf,-
Nacional Financiera,2015-10-01,USD 500m,500000000,10 years,Mexico,Wind,Sustainalytics,/files/drupal-files/files/Nacional Financiera pre issuance Verification Letter.pdf,-
Big60million,2015-07-01,GBP 3.4m,5200000,,United Kingdom,Solar,Bureau Veritas,/files/drupal-files/files/Southam Validation Report r00.pdf,-
Big60million,2015-07-01,GBP 4.4m,6900000,,United Kingdom,Solar,Bureau Veritas,/files/drupal-files/files/Paddock Wood Validation Report r00.pdf,-
Big60million,2015-07-01,GBP 3.5m,5400000,,United Kingdom,Solar,Bureau Veritas,/files/drupal-files/files/Atherstone Validation Report r00.pdf,-
ABN AMRO,2015-06-01,EUR 500m,556000000,5 years,Europe,Low Carbon Buildings (Commercial)Low Carbon Buildings (Residential)Solar,Oekom Research,/files/drupal-files/files/ABN AMRO 2015 pre issuance Verification Statement.pdf,-
ANZ Bank,2015-05-01,AUD 600m,464000000,5 years,Australia,Low Carbon BuildingsSolarWind,EY Asia Pacific,/files/drupal-files/files/ANZ 2015 Green Bond pre issuance Verification Statement Public.pdf,-
National Australia Bank,2014-12-01,AUD 300m,246000000,7 years,Australia,Wind,DNV,/files/drupal-files/files/NAB First Climate Bond 2014 pre issuance assurance statement.pdf,-
Big60million,2014-10-01,GBP 4m,6400000,,United Kingdom,Solar,Bureau Veritas,/files/drupal-files/files/Big60million Validation Report(1).pdf,-
